FUND TYPE,DEPARTMENT CODE,DEPARTMENT DESCRIPTION,FUND CODE,FUND DESCRIPTION,ORGANIZATION CODE,ORGANIZATION DESCRIPTION,DIVISION CODE,DIVISION DESCRIPTION,SECTION CODE,SECTION DESCRIPTION,SUB-SECTION CODE,SUB-SECTION DESCRIPTION,SCHEDULE/GRADE,BARGAINING UNIT,TITLE CODE,TITLE DESCRIPTION,BUDGETED UNIT,TOTAL BUDGETED UNIT,POSITION CONTROL,BUDGETED PAY RATE,TOTAL BUDGETED AMOUNT
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2015,Financial Strategy and Operations,3017,Financial Operations,4026,Cash Management and Disbursements,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,21617.00,21617
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2015,Financial Strategy and Operations,3017,Financial Operations,4036,Payroll Systems and Operations,X 32,9,9651,Deputy Comptroller,Annual,1,1,163068.00,163068
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2015,Financial Strategy and Operations,3017,Financial Operations,4036,Payroll Systems and Operations,BX 15,10,1911,Project Coordinator-Excluded,Annual,1,1,100476.00,100476
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2015,Financial Strategy and Operations,3017,Financial Operations,4036,Payroll Systems and Operations,B 14,1,0689,Senior Help Desk Technician,Annual,1,1,121212.00,121212
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2015,Financial Strategy and Operations,3017,Financial Operations,4036,Payroll Systems and Operations,B 14,1,0689,Senior Help Desk Technician,Annual,2,1,90780.00,181560
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2015,Financial Strategy and Operations,3017,Financial Operations,4036,Payroll Systems and Operations,B 14,1,0689,Senior Help Desk Technician,Annual,1,1,73140.00,73140
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2015,Financial Strategy and Operations,3017,Financial Operations,4036,Payroll Systems and Operations,G 10,4,0659,Principal Data Base Analyst,Annual,1,1,160008.00,160008
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2015,Financial Strategy and Operations,3017,Financial Operations,4036,Payroll Systems and Operations,G 08,4,0635,Senior Programmer/Analyst,Annual,2,1,137436.00,274872
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2015,Financial Strategy and Operations,3017,Financial Operations,4036,Payroll Systems and Operations,G 10,1,0629,Principal Programmer/Analyst,Annual,1,1,142188.00,142188
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2015,Financial Strategy and Operations,3017,Financial Operations,4036,Payroll Systems and Operations,BX 18,10,0311,Projects Administrator,Annual,1,1,145704.00,145704
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2015,Financial Strategy and Operations,3017,Financial Operations,4036,Payroll Systems and Operations,B 13,1,0308,Staff Assistant,Annual,1,1,68688.00,68688
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2015,Financial Strategy and Operations,3017,Financial Operations,4036,Payroll Systems and Operations,G 06,4,0192,Auditor II,Annual,3,1,115380.00,346140
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2015,Financial Strategy and Operations,3017,Financial Operations,4036,Payroll Systems and Operations,B 17,1,0121,Payroll Administrator,Annual,1,1,167556.00,167556
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2015,Financial Strategy and Operations,3017,Financial Operations,4036,Payroll Systems and Operations,B 17,1,0121,Payroll Administrator,Annual,1,1,139224.00,139224
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2015,Financial Strategy and Operations,3017,Financial Operations,4036,Payroll Systems and Operations,B 17,1,0121,Payroll Administrator,Annual,1,1,104376.00,104376
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2015,Financial Strategy and Operations,3017,Financial Operations,4036,Payroll Systems and Operations,B 14,1,0114,Assistant Payroll Administrator,Annual,1,1,121212.00,121212
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2015,Financial Strategy and Operations,3017,Financial Operations,4036,Payroll Systems and Operations,B 14,1,0114,Assistant Payroll Administrator,Annual,1,1,110316.00,110316
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2015,Financial Strategy and Operations,3017,Financial Operations,4036,Payroll Systems and Operations,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,17655.00,17655
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3100,Administration,0,,X 31,9,9814,Managing Deputy Director,Annual,1,1,175068.00,175068
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3100,Administration,0,,BX 15,10,0362,Assistant to the Director,Annual,1,1,95952.00,95952
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3100,Administration,0,,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,6840.00,6840
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3154,Payment Processing,4641,Cashiering,X 32,9,9684,Deputy Director,Annual,1,1,135084.00,135084
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3154,Payment Processing,4641,Cashiering,B 12,1,03A8,Senior Administrative Assistant,Annual,1,1,60720.00,60720
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3154,Payment Processing,4641,Cashiering,B 12,1,03A8,Senior Administrative Assistant,Annual,4,1,105408.00,421632
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3154,Payment Processing,4641,Cashiering,B 12,1,03A8,Senior Administrative Assistant,Annual,1,1,75384.00,75384
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3154,Payment Processing,4641,Cashiering,B 13,1,0308,Staff Assistant,Annual,1,1,115632.00,115632
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3154,Payment Processing,4641,Cashiering,X 33,0,0306,Assistant Director,Annual,2,1,133524.00,267048
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3154,Payment Processing,4641,Cashiering,BX 15,10,0248,Supervisor of Payment Center,Annual,3,1,110256.00,330768
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3154,Payment Processing,4641,Cashiering,BX 15,10,0248,Supervisor of Payment Center,Annual,1,1,80628.00,80628
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3154,Payment Processing,4641,Cashiering,BX 15,10,0248,Supervisor of Payment Center,Annual,1,1,74244.00,74244
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3154,Payment Processing,4641,Cashiering,BX 16,10,0237,Coordinator of Payment Services,Annual,1,1,80628.00,80628
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3154,Payment Processing,4641,Cashiering,B 10,1,0235,Payment Services Representative,Annual,4,1,87516.00,350064
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3154,Payment Processing,4641,Cashiering,B 10,1,0235,Payment Services Representative,Annual,1,1,83604.00,83604
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3154,Payment Processing,4641,Cashiering,B 10,1,0235,Payment Services Representative,Annual,1,1,76152.00,76152
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3154,Payment Processing,4641,Cashiering,B 10,1,0235,Payment Services Representative,Annual,1,1,62604.00,62604
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3154,Payment Processing,4641,Cashiering,B 10,1,0235,Payment Services Representative,Annual,1,1,57048.00,57048
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3154,Payment Processing,4641,Cashiering,B 10,1,0235,Payment Services Representative,Annual,3,1,54492.00,163476
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3154,Payment Processing,4641,Cashiering,B 10,1,0235,Payment Services Representative,Annual,3,1,51972.00,155916
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3154,Payment Processing,4641,Cashiering,B 10,1,0235,Payment Services Representative,Annual,3,1,50424.00,151272
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3154,Payment Processing,4641,Cashiering,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,26322.00,26322
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3154,Payment Processing,4642,Reconciliation,GY 11,20,0187,Director of Accounting,Annual,1,1,112608.00,112608
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3154,Payment Processing,4642,Reconciliation,GY 10,20,0120,Supervisor of Accounting,Annual,1,1,123060.00,123060
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3154,Payment Processing,4642,Reconciliation,G 07,4,0111,Lead Accountant,Annual,1,1,109260.00,109260
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3154,Payment Processing,4642,Reconciliation,B 13,4,0110,Accountant,Annual,1,1,75384.00,75384
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3154,Payment Processing,4642,Reconciliation,B 13,4,0110,Accountant,Annual,1,1,72012.00,72012
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3154,Payment Processing,4642,Reconciliation,B 11,1,0109,Accounting Technician,Annual,1,1,62604.00,62604
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3154,Payment Processing,4642,Reconciliation,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,8536.00,8536
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3156,Tax Policy and Administration,4666,Tax Administration,G 05,4,0191,Auditor I,Annual,1,1,105540.00,105540
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3156,Tax Policy and Administration,4666,Tax Administration,GY 11,20,0149,Supervisor of Auditing,Annual,1,1,137016.00,137016
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3156,Tax Policy and Administration,4666,Tax Administration,B 11,1,0109,Accounting Technician,Annual,4,1,96048.00,384192
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3156,Tax Policy and Administration,4666,Tax Administration,B 11,1,0109,Accounting Technician,Annual,1,1,91704.00,91704
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3156,Tax Policy and Administration,4666,Tax Administration,B 11,1,0109,Accounting Technician,Annual,1,1,83604.00,83604
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3156,Tax Policy and Administration,4666,Tax Administration,B 11,1,0109,Accounting Technician,Annual,1,1,59760.00,59760
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3156,Tax Policy and Administration,4667,Tax Enforcement,X 32,9,9684,Deputy Director,Annual,1,1,163068.00,163068
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3156,Tax Policy and Administration,4667,Tax Enforcement,G 09,4,0194,Auditor IV,Annual,2,1,150252.00,300504
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3156,Tax Policy and Administration,4667,Tax Enforcement,G 09,4,0194,Auditor IV,Annual,1,1,136068.00,136068
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3156,Tax Policy and Administration,4667,Tax Enforcement,G 07,4,0193,Auditor III,Annual,1,1,125856.00,125856
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3156,Tax Policy and Administration,4667,Tax Enforcement,G 07,4,0193,Auditor III,Annual,3,1,109260.00,327780
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3156,Tax Policy and Administration,4667,Tax Enforcement,G 07,4,0193,Auditor III,Annual,3,1,99528.00,298584
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3156,Tax Policy and Administration,4667,Tax Enforcement,G 07,4,0193,Auditor III,Annual,1,1,94644.00,94644
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3156,Tax Policy and Administration,4667,Tax Enforcement,G 07,4,0193,Auditor III,Annual,1,1,90228.00,90228
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3156,Tax Policy and Administration,4667,Tax Enforcement,G 06,4,0192,Auditor II,Annual,4,1,115380.00,461520
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3156,Tax Policy and Administration,4667,Tax Enforcement,G 06,4,0192,Auditor II,Annual,1,1,99528.00,99528
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3156,Tax Policy and Administration,4667,Tax Enforcement,G 06,4,0192,Auditor II,Annual,2,1,90228.00,180456
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3156,Tax Policy and Administration,4667,Tax Enforcement,G 06,4,0192,Auditor II,Annual,7,1,79260.00,554820
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3156,Tax Policy and Administration,4667,Tax Enforcement,G 05,4,0191,Auditor I,Annual,1,1,105540.00,105540
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3156,Tax Policy and Administration,4667,Tax Enforcement,G 05,4,0191,Auditor I,Annual,10,1,72000.00,720000
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3156,Tax Policy and Administration,4667,Tax Enforcement,X 33,20,0150,Manager of Auditing,Annual,3,1,148920.00,446760
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3156,Tax Policy and Administration,4667,Tax Enforcement,GY 11,20,0149,Supervisor of Auditing,Annual,6,1,137016.00,822096
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3156,Tax Policy and Administration,4667,Tax Enforcement,GY 11,20,0149,Supervisor of Auditing,Annual,1,1,103176.00,103176
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3156,Tax Policy and Administration,4667,Tax Enforcement,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,32595.00,32595
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3157,Street Operations,4674,Parking Enforcement,I 10,2,7482,Parking Enforcement Aide,Annual,8,1,71436.00,571488
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3157,Street Operations,4674,Parking Enforcement,I 10,2,7482,Parking Enforcement Aide,Annual,5,1,68196.00,340980
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3157,Street Operations,4674,Parking Enforcement,I 10,2,7482,Parking Enforcement Aide,Annual,6,1,65064.00,390384
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3157,Street Operations,4674,Parking Enforcement,I 10,2,7482,Parking Enforcement Aide,Annual,4,1,62136.00,248544
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3157,Street Operations,4674,Parking Enforcement,I 10,2,7482,Parking Enforcement Aide,Annual,3,1,56616.00,169848
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3157,Street Operations,4674,Parking Enforcement,I 10,2,7482,Parking Enforcement Aide,Annual,7,1,54072.00,378504
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3157,Street Operations,4674,Parking Enforcement,I 10,2,7482,Parking Enforcement Aide,Annual,4,1,51600.00,206400
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3157,Street Operations,4674,Parking Enforcement,I 10,2,7482,Parking Enforcement Aide,Annual,5,1,46416.00,232080
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3157,Street Operations,4674,Parking Enforcement,I 10,2,7482,Parking Enforcement Aide,Annual,14,1,44292.00,620088
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3157,Street Operations,4674,Parking Enforcement,I 10,2,7482,Parking Enforcement Aide,Annual,17,1,42312.00,719304
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3157,Street Operations,4674,Parking Enforcement,I 10,2,7482,Parking Enforcement Aide,Annual,19,1,40392.00,767448
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3157,Street Operations,4674,Parking Enforcement,I 10,2,7482,Parking Enforcement Aide,Monthly,365,0,3300.00,1204500
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3157,Street Operations,4674,Parking Enforcement,I 11,2,7481,Field Supervisor I - Parking Enforcement,Annual,1,1,78384.00,78384
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3157,Street Operations,4674,Parking Enforcement,I 11,2,7481,Field Supervisor I - Parking Enforcement,Annual,2,1,74844.00,149688
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3157,Street Operations,4674,Parking Enforcement,I 11,2,7481,Field Supervisor I - Parking Enforcement,Annual,1,1,71436.00,71436
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3157,Street Operations,4674,Parking Enforcement,I 11,2,7481,Field Supervisor I - Parking Enforcement,Annual,1,1,62136.00,62136
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3157,Street Operations,4674,Parking Enforcement,I 11,2,7481,Field Supervisor I - Parking Enforcement,Annual,4,1,56616.00,226464
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3157,Street Operations,4674,Parking Enforcement,I 11,2,7481,Field Supervisor I - Parking Enforcement,Annual,1,1,48588.00,48588
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3157,Street Operations,4674,Parking Enforcement,I 11,2,7481,Field Supervisor I - Parking Enforcement,Annual,1,1,46416.00,46416
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3157,Street Operations,4674,Parking Enforcement,I 13,2,7480,Field Supervisor II - Parking Enforcement,Annual,1,1,74844.00,74844
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3157,Street Operations,4674,Parking Enforcement,I 13,2,7480,Field Supervisor II - Parking Enforcement,Annual,1,1,61308.00,61308
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3157,Street Operations,4674,Parking Enforcement,B 12,1,7118,Dispatch Clerk - in Charge,Annual,1,1,105408.00,105408
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3157,Street Operations,4674,Parking Enforcement,B 11,1,7102,Dispatch Clerk,Annual,1,1,96048.00,96048
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3157,Street Operations,4674,Parking Enforcement,B 11,1,7102,Dispatch Clerk,Annual,2,1,72732.00,145464
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3157,Street Operations,4674,Parking Enforcement,B 11,1,7102,Dispatch Clerk,Annual,1,1,65640.00,65640
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3157,Street Operations,4674,Parking Enforcement,B 11,1,7102,Dispatch Clerk,Annual,1,1,57048.00,57048
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3157,Street Operations,4674,Parking Enforcement,B 11,1,7102,Dispatch Clerk,Annual,1,1,55344.00,55344
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3157,Street Operations,4674,Parking Enforcement,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,87899.00,87899
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3157,Street Operations,4675,Booting,2 0,8,7112,Booter - Parking,Hourly,12571,0,43.92,552118
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3157,Street Operations,4675,Booting,2 0,8,7113,Supervising Booter - Parking,Hourly,7,1,45.34,660150
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3157,Street Operations,4675,Booting,2 0,8,7112,Booter - Parking,Hourly,28,1,43.92,2557901
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3157,Street Operations,4675,Booting,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,1155.00,1155
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3157,Street Operations,4675,Booting,1 00,0,0012,Contract Wage Increment - Prevailing Rate,Annual,0,0,56553.00,56553
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3157,Street Operations,4676,Enforcement Administration,X 32,9,9684,Deputy Director,Annual,1,1,163068.00,163068
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3157,Street Operations,4676,Enforcement Administration,BX 16,10,7119,Supervisor of Booting Operations,Annual,1,1,80628.00,80628
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3157,Street Operations,4676,Enforcement Administration,BX 17,10,1256,Supervising Investigator,Annual,1,1,120960.00,120960
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3157,Street Operations,4676,Enforcement Administration,BX 13,10,1217,Parking Investigator,Annual,3,1,91584.00,274752
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3157,Street Operations,4676,Enforcement Administration,BX 13,10,1217,Parking Investigator,Annual,1,1,83472.00,83472
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3157,Street Operations,4676,Enforcement Administration,BX 13,10,1217,Parking Investigator,Annual,1,1,81012.00,81012
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3157,Street Operations,4676,Enforcement Administration,BX 13,10,1217,Parking Investigator,Annual,1,1,71580.00,71580
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3157,Street Operations,4676,Enforcement Administration,B 16,1,0634,Data Services Administrator,Annual,1,1,126864.00,126864
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3157,Street Operations,4676,Enforcement Administration,BX 17,20,0381,Director of Administration II,Annual,1,1,132708.00,132708
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3157,Street Operations,4676,Enforcement Administration,BX 20,10,0334,Manager of Parking,Annual,1,1,104208.00,104208
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3157,Street Operations,4676,Enforcement Administration,B 13,1,0308,Staff Assistant,Annual,1,1,68688.00,68688
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3157,Street Operations,4676,Enforcement Administration,X 33,0,0306,Assistant Director,Annual,2,1,133524.00,267048
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3157,Street Operations,4676,Enforcement Administration,1 00,0,0015,Schedule Salary Adjustments,Annual,0,0,24445.00,24445
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3157,Street Operations,4677,Field Support,2 0,54,9536,Laborer - Parking Operations,Hourly,3,1,50.15,312936
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3157,Street Operations,4677,Field Support,1 00,0,0012,Contract Wage Increment - Prevailing Rate,Annual,0,0,4694.00,4694
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3157,Street Operations,4678,Permits,BX 16,10,0330,Parking Revenue Security Supervisor,Annual,1,1,120960.00,120960
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3220,Accounts Receivable,4202,Advanced Collections,X 32,9,9684,Deputy Director,Annual,1,1,163068.00,163068
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3220,Accounts Receivable,4202,Advanced Collections,BX 15,10,1911,Project Coordinator-Excluded,Annual,1,1,77796.00,77796
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3220,Accounts Receivable,4202,Advanced Collections,BX 15,10,1911,Project Coordinator-Excluded,Annual,2,1,70872.00,141744
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3220,Accounts Receivable,4202,Advanced Collections,B 14,1,0712,Senior Public Information Officer,Annual,1,1,115632.00,115632
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3220,Accounts Receivable,4202,Advanced Collections,B 10,1,0420,Collections Representative,Annual,2,1,59760.00,119520
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3220,Accounts Receivable,4202,Advanced Collections,B 10,1,0420,Collections Representative,Annual,2,1,54492.00,108984
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3220,Accounts Receivable,4202,Advanced Collections,B 10,1,0420,Collections Representative,Annual,1,1,51972.00,51972
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3220,Accounts Receivable,4202,Advanced Collections,B 10,1,0420,Collections Representative,Annual,1,1,87516.00,87516
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3220,Accounts Receivable,4202,Advanced Collections,B 10,1,0420,Collections Representative,Annual,7,1,50424.00,352968
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3220,Accounts Receivable,4202,Advanced Collections,B 12,1,03A8,Senior Administrative Assistant,Annual,1,1,105408.00,105408
LOCAL,27,Department of Finance,0100,Corporate Fund,1005,Finance,2020,Revenue Services and Operations,3220,Accounts Receivable,4202,Advanced Collections,B 12,1,03A8,Senior Administrative Assistant,Annual,3,1,60720.00,182160
